Diamond #,Cut Type,X (px),Y (px),Width (px),Height (px),Area (px²),Aspect Ratio
432,Round,441,818,13.9,15.2,123.5,1.1
433,Round,592,820,12.9,14.7,108.5,1.15
434,Marquise,713,823,24.7,15.5,249.0,1.59
435,Round,832,814,26.6,26.6,410.0,1.0
436,Round,699,827,10.0,15.0,92.0,1.5
437,Round,805,828,16.9,15.1,98.0,1.12
438,Marquise,459,828,16.5,35.2,335.0,2.13
439,Round,574,828,16.4,13.8,134.0,1.19
440,Round,653,831,16.1,14.8,147.5,1.09
441,Round,674,830,10.0,10.0,60.5,1.0
442,Marquise,793,836,13.9,5.8,45.0,2.42
443,Baguette,828,826,8.9,25.0,121.5,2.8
444,Marquise,537,835,31.8,14.7,275.5,2.16
445,Round,414,831,19.4,19.1,160.5,1.01
446,Baguette,493,835,15.4,41.7,341.5,2.72
447,Marquise,525,843,5.5,11.1,23.5,2.0
448,Round,805,838,22.6,26.9,292.0,1.19
449,Marquise,539,849,7.1,3.5,12.5,2.0
450,Baguette,743,842,51.2,5.2,120.0,9.84
451,Round,425,839,12.8,12.8,128.0,1.0
452,Baguette,464,850,2.4,18.7,18.0,7.82
453,Baguette,604,846,4.0,17.0,32.0,4.22
454,Baguette,803,843,4.1,17.9,46.5,4.32
455,Baguette,728,853,24.5,2.3,19.5,10.7
456,Baguette,485,857,2.5,22.1,20.0,8.81
457,Round,604,858,5.0,4.0,14.5,1.25
458,Marquise,631,852,35.1,17.1,314.0,2.05
459,Baguette,702,857,25.1,2.2,14.0,11.24
460,Baguette,708,858,34.1,3.7,57.5,9.31
461,Baguette,410,819,9.9,96.6,223.0,9.71
462,Baguette,685,860,4.2,21.1,45.5,5.0
463,Marquise,430,846,18.9,35.8,500.0,1.9
464,Baguette,496,863,3.6,9.2,12.0,2.53
465,Round,586,857,16.7,18.2,171.5,1.09
466,Round,663,857,9.2,7.8,48.0,1.18
467,Baguette,506,865,3.0,9.0,16.0,3.0
468,Baguette,516,866,5.1,46.0,88.5,9.07
469,Baguette,507,862,2.4,24.2,19.5,10.04
470,Baguette,570,865,11.3,3.6,18.5,3.14
471,Round,617,859,14.7,9.9,83.5,1.49
472,Baguette,544,855,53.9,5.1,66.5,10.5
473,Marquise,464,858,19.2,12.3,157.5,1.57
474,Round,736,858,26.1,23.3,429.0,1.12
475,Marquise,636,871,4.0,8.0,19.0,2.0
476,Round,641,866,9.4,13.4,59.0,1.43
477,Round,684,865,18.8,19.8,198.5,1.06
478,Marquise,475,862,20.1,31.7,421.0,1.58
479,Round,576,866,12.1,15.0,124.5,1.24
480,Marquise,696,867,6.8,14.1,23.5,2.08
481,Round,702,864,14.5,20.0,222.5,1.38
482,Round,716,863,21.0,30.0,449.5,1.43
483,Round,618,873,3.6,5.4,12.5,1.5
484,Marquise,496,872,16.5,8.9,58.0,1.85
485,Round,565,870,15.0,13.0,153.5,1.15
486,Round,644,872,9.9,6.9,41.0,1.43
487,Marquise,506,868,10.1,21.5,80.0,2.14
488,Marquise,558,870,16.0,8.0,52.0,2.0
489,Marquise,512,869,13.9,8.2,62.5,1.69
490,Round,518,872,18.6,14.2,161.5,1.31
491,Round,528,872,16.0,13.0,77.5,1.23
492,Marquise,540,881,8.0,16.0,44.5,2.0
493,Round,540,872,13.9,20.9,168.0,1.5
